C1_1,C1_2,C1_3,C1_4,C2_1,C2_2,C2_3,C2_4,C3_1,C3_2,C3_3,C3_4
0.847,-0.195,1.179,0.161,-1.192,-1.045,-2.045,-0.943,-1.741,-0.938,-0.871,0.041
-0.785,-0.879,-1.624,-0.619,-0.954,0.21,-0.969,-0.826,-0.203,0.404,-0.218,-0.17
0.453,-0.279,1.038,1.085,0.075,0.376,0.452,0.948,-0.035,-0.82,1.353,1.252
1.297,0.019,0.525,0.204,0.057,0.996,0.569,0.41,1.195,0.496,1.71,1.261
-1.465,-0.496,-1.497,-1.584,-0.423,-0.043,-0.152,-0.319,0.178,-0.277,0.199,0.274
-0.416,-1.685,-1.556,-0.275,0.077,0.138,0.131,0.493,-0.758,0.801,0.179,0.225
0.191,-0.446,-0.088,-0.272,0.133,-0.628,-0.102,0.138,0.313,1.155,0.981,2.623
-0.82,0.665,0.478,-0.658,0.335,-0.206,-0.968,-0.225,-0.817,-0.582,-1.044,-0.581
-0.63,1.439,0.308,0.088,0.034,0.187,0.995,-0.163,-0.595,-0.921,-0.917,-0.69
0.018,-1.268,0.313,-0.243,-0.221,-0.031,0.001,-0.129,-2.154,-1.473,-0.93,-0.43
1.523,0.519,1.307,0.692,-1.224,-0.137,-0.463,-1.215,0.113,-0.008,-0.646,-0.428
0.58,0.793,0.825,1.271,-0.445,-0.433,-0.294,-0.526,-0.87,-0.908,-1.59,-1.207
-0.116,0.917,1.009,0.48,-0.764,-0.811,-0.474,-1.362,0.013,0.613,0.597,0.791
1.616,0.408,1.087,1.3,-0.12,0.916,1.773,0.911,-0.408,0.1,0.407,0.219
-0.101,0.251,0.806,0.642,0.677,0.074,0.178,-0.147,-0.56,-0.75,-1.85,-0.779
-1.133,-0.299,-0.808,0.494,0.012,0.76,0.094,-0.335,-0.715,-0.744,-0.853,-0.841
0.603,0.512,0.313,0.185,-0.473,-1.167,-0.621,0.123,1.386,0.654,0.794,0.424
-0.993,-0.955,-1.103,-1.75,-0.649,-0.322,-0.71,-0.036,0.594,0.792,0.946,0.594
0.744,0.636,1.203,1.487,0.45,-0.329,-0.005,0.429,2.004,0.87,2.199,0.788
-0.116,-0.727,-0.686,-0.268,-0.061,-1.02,-0.722,0.448,2.037,0.819,1.908,2.372
-0.005,-0.267,0.292,-0.09,0.218,0.996,0.237,0.083,0.715,0.832,-0.178,-0.171
